epoch,spec_rmsp,absorb_rmsp,s_b,s_s,s_w,s_f,s_m,s_muspx,s_bmie,f_b,f_s,f_f,f_muspx,f_bmie,m_b,m_s,m_w,m_c,m_muspx,m_bmie,i_s,i_muspx,i_bmie,c_s,c_muspx,c_bmie
0.0,18.20063860381367,0.0,0.16224614953181749,0.7765709855893187,0.22416700961078762,0.03024772877204543,0.02144610965525812,45.002442165227095,1.3513019060980354,0.09751164085446067,3.099939995533172e-05,0.9066282339370619,4.766878291126491,0.6206321565595724,0.09659686318193857,0.32134709845162873,0.09483265258510107,0.6215842435752322,15.312422965334012,1.9955606702590254,0.7179748750246064,0.4769765968184577,1.1542301044453995,0.0015450839316814863,1.5485165665850458,0.9998976167302795
1.0,18.25982017158133,0.0,0.15432036307305605,0.7641398611795562,0.22464850083971616,0.0648755258016482,0.024497707509581582,45.13368480435012,1.3649126608984972,0.09551175233075879,0.0,0.9131487598268044,4.902194973245684,0.6204662651037129,0.0949714308429407,0.3653552741875173,0.09466101537599339,0.6165808144862857,15.12504379858363,1.9535848833274643,0.7037541269910779,0.4559782910427809,1.1512222817489377,0.012963163204908831,1.5416721118927386,0.9999655177624779
2.0,18.265098192837275,0.0,0.153105943609903,0.8354874344673131,0.2274947418322616,0.10982021438639737,0.02389731664383598,45.086957357766934,1.414189516350708,0.09074412698367794,0.0,0.907586328936389,4.875626591608229,0.615006273061059,0.09133709977621676,0.37282777057442423,0.09478612821054166,0.70650536629639,15.070498925141512,1.972419342649348,0.7049524138830395,0.49081569387204593,1.149277717145559,0.002648686234396061,1.5045834283093626,0.9997804499222147
3.0,18.282286314452033,0.0,0.11730619550067618,0.8623902509303598,0.22202315833959718,0.1514484490874259,0.009671904370757378,45.27173928545963,1.4436730451077076,0.06864340258279662,0.0,0.9112771265627,4.736541923599028,0.5701105702700361,0.09539920383100793,0.4777652824125682,0.09487981243934077,0.729921734946427,15.115768506944857,1.9429816620100617,0.7187991954716519,0.41116178645009316,1.1612832886544526,0.0,1.5141745345139346,0.9996863570317353
4.0,18.3098634131083,0.0,0.09333699159143945,1.020511758711486,0.24863777020267241,0.3276697326934035,0.05166895650249009,45.36438564016126,1.452930875532489,0.04603921141511416,0.0,0.9221417106176826,7.596310291357403,0.8366279966795749,0.08031405108430716,0.6152611662999188,0.09418824743990775,0.8430388382842258,12.730030834713197,2.030358310028472,0.6850490994026759,0.43611776874750907,1.082501833567498,0.15771692948079735,1.0447003311957015,0.9999358080600333
5.0,18.318103065041164,0.0,0.1672876661136708,0.744094649512299,0.22123464715263624,0.05980168648683331,0.02794864905275961,46.09756225706132,1.2792564170580867,0.08595075451146963,0.0,0.924932941678027,5.247177474578592,0.7019060775462521,0.09257804283272614,0.4182253678187777,0.0939203344557254,0.597405504945284,15.241324739349086,1.9547536821325562,0.7163039929911373,0.49934474823148545,1.1872363158758388,0.0,1.4425439402874138,0.9996766501810683
6.0,18.329555447549605,0.0,0.0924197738742597,1.0169903190832814,0.24789802738020955,0.32886414094436145,0.050292007758642385,46.00701882851033,1.4458739224483022,0.04190178471241025,0.0,0.921864688741002,7.556679263613655,0.8340428989289211,0.08047541369422359,0.6246770075758378,0.09415792812863973,0.8438362605629377,12.602260673969017,2.0298671849972743,0.6865420498908282,0.4374992050739898,1.083687585397021,0.15730766985218503,1.0281525017855788,0.999924017703713
7.0,18.333991161340364,0.0,0.16939480052569195,0.7449752612959987,0.21275895133254458,0.0322189640448733,0.08723610578306329,44.28980122727718,1.1111560828819351,0.09348454234786858,0.0,0.9237532771804006,5.1456493288932394,0.7523238495360829,0.09316355110226925,0.35923428682618747,0.0943753983360918,0.6080337416244848,15.18524186365918,1.8706307834045734,0.7413472173980431,0.5081493227231486,1.1243191172309532,0.05365376257823962,1.55672901359112,1.0096017712694645
8.0,18.334845806788525,0.0,0.1797250094315376,0.7184681332735086,0.22320795902228702,0.058006849502371303,0.05698354997082674,45.33967252410769,1.2690141138759254,0.09914578256872741,5.983025608673818e-05,0.9139227278211479,4.750936437559994,0.674833529541167,0.095237541281377,0.31397303404063864,0.09467200877680622,0.5707635461300231,15.385396480848154,1.9893649436643424,0.7356486908736222,0.5294361423616806,1.1414081719378957,0.016159367519454775,1.5005539818872662,0.9999002844289976
9.0,18.34083038843272,0.0,0.1250216114914392,0.8728998736896205,0.2256628239662234,0.1808497050742159,0.030035456002515126,44.98011605809212,1.4056932640778208,0.06883274362990431,0.0,0.9117760109492308,5.151357360180881,0.6389698808017181,0.09006564682851209,0.4946098715598104,0.09458822228053511,0.7569521623117128,14.814304623269896,1.9448749319789331,0.7110528436769857,0.4420660787831414,1.1426189769313966,0.04545372929887105,1.4170385579305933,0.9997551848729567
