,wavelength,max,min
0,650,194.40882950914968,196.6271129828643
1,660,359.819963210379,363.6474767644502
2,670,534.3922935424532,537.3753703165844
3,680,781.8186078032717,788.83084156259
4,690,1047.8452125084714,1055.9940095846648
5,700,1456.9035918288316,1471.287311211154
6,710,1735.2532481363135,1743.3277011327316
7,720,2016.7819343595695,2029.8931672959632
8,730,2247.3713815471006,2267.1682725820506
9,740,2212.556704424437,2230.8105467615464
10,750,2364.819169329074,2376.3108226837044
11,760,2395.2113273308155,2416.8839093813535
12,770,2641.9534320844227,2651.7694379901245
13,780,2840.3588537128467,2864.0754465582336
14,790,3071.3278923419502,3092.590248329946
15,800,3001.8400813244257,3015.9845774034247
16,810,3108.104656791556,3139.6509620970082
17,820,2763.2612450382426,2786.8828202149293
18,830,2804.606757672567,2822.004999273885
19,840,2431.9158679446236,2454.009464856232
20,850,2302.6895730467677,2315.4217361312876
21,860,2201.14739084132,2215.453314696485
22,870,1993.244999515924,1999.8431309904133
23,880,1755.0000580888793,1763.46738309614
24,890,1403.5814309226448,1412.6087750508275
25,900,1223.74680995256,1226.4381426081893
26,910,1065.7861748475161,1075.8496006389773
27,920,1067.322993513409,1078.737877577695
28,930,814.0269338754969,817.4150631716536
29,940,636.659134475748,643.8510855358687
30,950,451.47268854681016,450.94415480685467
31,960,262.9493077742271,268.0252977054885
32,970,211.8036208732693,216.4089856230038
33,980,198.6037176880629,201.1067492012778
34,990,180.56996805111825,182.5612619808307
35,1000,164.90157808113074,162.97834374092358
