train_error,valid_error
2380.114013671875,3378.195068359375
3267.885986328125,3196.169677734375
2711.335693359375,2989.16259765625
2261.336669921875,2760.724365234375
2344.998046875,2513.604248046875
2320.810791015625,2258.08642578125
2047.6502685546875,2016.9072265625
2067.199951171875,1785.5201416015625
1664.3135986328125,1579.5467529296875
1179.767578125,1400.052001953125
1124.950439453125,1242.6077880859375
1151.2333984375,1124.5321044921875
751.8358764648438,1032.2783203125
828.2800903320312,965.9527587890625
827.6494140625,922.511474609375
670.4927978515625,893.2401733398438
833.169189453125,874.5491333007812
771.9786987304688,866.7216796875
835.961669921875,859.1775512695312
923.6060180664062,851.676513671875
1111.128173828125,850.223876953125
1006.463134765625,847.576416015625
799.09326171875,845.3746337890625
603.31884765625,848.080078125
590.8987426757812,843.522705078125
765.353515625,834.8522338867188
1134.9892578125,839.3350219726562
911.9231567382812,844.3970336914062
889.558349609375,837.8812866210938
860.092041015625,838.4376220703125
835.2435302734375,837.4730834960938
967.5345458984375,837.5890502929688
905.057861328125,837.1593627929688
946.3431396484375,838.4989013671875
945.72509765625,843.9782104492188
1015.3984375,833.9948120117188
772.3729248046875,838.8997802734375
838.1414184570312,839.0853271484375
816.3479614257812,837.9605102539062
750.2055053710938,838.1593017578125
985.2183837890625,838.9466552734375
946.32666015625,839.7176513671875
684.2086791992188,836.013916015625
737.7940673828125,833.642333984375
1066.411865234375,836.0325317382812
928.7068481445312,845.2953491210938
987.0010986328125,833.0633544921875
936.9073486328125,837.1965942382812
749.3447265625,835.4016723632812
888.2526245117188,834.5785522460938
1035.4434814453125,836.827880859375
731.3810424804688,836.36279296875
760.611572265625,838.2903442382812
1064.2564697265625,838.4133911132812
689.6074829101562,837.6560668945312
1078.20458984375,842.0780639648438
676.4987182617188,837.35498046875
796.4027709960938,838.8008422851562
529.8229370117188,844.4506225585938
784.331298828125,836.1765747070312
909.7259521484375,838.3311157226562
714.241943359375,838.2787475585938
939.3670654296875,838.0941162109375
751.0966796875,833.3826904296875
983.19482421875,840.1214599609375
863.979736328125,843.7927856445312
1087.6182861328125,832.6207885742188
1022.0877075195312,837.3433227539062
827.4010009765625,834.9171142578125
805.510498046875,838.2337036132812
864.54345703125,840.008544921875
870.1627197265625,842.6821899414062
819.3710327148438,838.6927490234375
939.92578125,842.8306274414062
654.642822265625,837.2103881835938
901.7984619140625,833.8922729492188
867.34228515625,839.9219970703125
591.4277954101562,837.8408203125
698.9393920898438,841.4298706054688
776.0643310546875,834.6176147460938
1105.5985107421875,843.8087768554688
1051.08837890625,835.20751953125
764.7410888671875,837.062744140625
1013.5467529296875,834.6893310546875
797.5548095703125,832.8799438476562
943.8693237304688,838.7484741210938
872.80322265625,837.7445678710938
861.68115234375,836.7550659179688
813.3384399414062,840.8565063476562
871.5122680664062,839.8322143554688
756.830810546875,844.61572265625
816.9686889648438,838.3529052734375
750.8584594726562,839.8583374023438
1008.3472900390625,837.5831298828125
815.3914184570312,842.4855346679688
853.2952270507812,837.9291381835938
833.0299682617188,837.8307495117188
787.6077270507812,838.3941650390625
785.090087890625,840.4500732421875
750.7913818359375,833.6895141601562
1021.7603149414062,838.6539306640625
781.064208984375,841.2954711914062
1117.06396484375,835.4866333007812
860.3336791992188,836.4398193359375
922.5840454101562,837.1259155273438
844.2593994140625,836.9844970703125
829.3524169921875,836.6612548828125
809.2406005859375,836.921142578125
688.8521118164062,835.7076416015625
921.1237182617188,837.6107788085938
852.4481201171875,836.6576538085938
982.3065185546875,838.2468872070312
946.9913940429688,835.2044677734375
855.5296020507812,836.2010498046875
779.7760009765625,834.388427734375
772.1968383789062,837.70166015625
864.1372680664062,837.7625732421875
870.4542236328125,838.1615600585938
799.4580688476562,839.8428955078125
919.5767822265625,837.7473754882812
1052.6474609375,837.18408203125
826.0437622070312,838.6925659179688
848.6765747070312,840.152587890625
785.407958984375,843.9111938476562
858.0849609375,835.81005859375
996.7828369140625,842.7449340820312
996.7491455078125,838.8867797851562
1010.1239624023438,847.2882690429688
821.8465576171875,835.4291381835938
685.1552734375,833.7333374023438
944.4569091796875,839.9559936523438
938.3243408203125,834.9041137695312
644.656982421875,832.2559204101562
935.3992919921875,834.7632446289062
849.4093627929688,835.7620239257812
897.37939453125,843.6117553710938
893.0889892578125,837.5042724609375
829.4351806640625,836.8424682617188
920.7941284179688,834.0398559570312
983.1488037109375,841.7526245117188
918.8682861328125,840.1320190429688
840.736572265625,832.6458740234375
983.009033203125,833.19140625
641.6698608398438,840.573974609375
1003.785888671875,831.3825073242188
945.3468627929688,832.3696899414062
898.05029296875,834.8333740234375
861.0324096679688,839.0477905273438
874.5620727539062,827.4849853515625
815.548095703125,832.4962768554688
595.5340576171875,830.407470703125
905.2762451171875,837.8473510742188
834.389404296875,828.1997680664062
798.7421875,835.0399780273438
861.7656860351562,834.1414794921875
863.93994140625,822.490478515625
861.411865234375,825.1600952148438
757.502197265625,821.6685180664062
561.1516723632812,815.4778442382812
975.4454956054688,816.408203125
872.6887817382812,818.0886840820312
681.0377197265625,813.8751831054688
1098.2076416015625,820.8270263671875
745.7734375,812.8422241210938
767.7677001953125,811.1347045898438
1193.9259033203125,807.0811767578125
854.8792724609375,809.8875122070312
761.1328735351562,803.625732421875
881.0157470703125,799.84033203125
583.96875,793.6311645507812
765.5076293945312,800.4784545898438
701.1611938476562,791.9508056640625
982.4931640625,779.000244140625
748.9990234375,782.1566772460938
727.0392456054688,773.5888671875
725.4384155273438,763.0645141601562
909.55810546875,771.19091796875
773.4298706054688,753.4398803710938
928.609130859375,762.18701171875
743.2027587890625,748.2263793945312
683.4517211914062,732.0810546875
631.5623168945312,728.8908081054688
994.1068725585938,736.23291015625
669.0668334960938,718.552734375
782.9464721679688,730.5432739257812
871.3030395507812,720.760986328125
876.7650756835938,719.8516235351562
606.3280029296875,708.067138671875
947.3857421875,707.6113891601562
632.7008666992188,703.0545043945312
734.4738159179688,696.2899780273438
687.5917358398438,703.8214111328125
609.0661010742188,683.3059692382812
736.322509765625,700.236083984375
583.0261840820312,717.850341796875
986.4570922851562,701.2089233398438
764.1270751953125,684.1704711914062
747.1600952148438,676.470947265625
699.8333740234375,678.48193359375
907.6793823242188,697.1766357421875
712.0665893554688,698.6248779296875
797.6257934570312,673.4483642578125
700.465576171875,681.0573120117188
554.6435546875,674.4285278320312
661.49951171875,681.431396484375
678.2520141601562,661.7039184570312
812.5631103515625,671.3186645507812
631.7597045898438,683.9946899414062
816.0476684570312,662.4356079101562
566.2470092773438,660.2650756835938
755.1998291015625,682.4450073242188
663.0496215820312,656.098388671875
963.4930419921875,698.3994140625
634.9849243164062,652.5624389648438
403.5736999511719,644.8614501953125
756.878173828125,645.611572265625
557.7114868164062,659.4419555664062
895.89453125,642.9342651367188
693.9412231445312,648.5720825195312
849.5653686523438,655.7772827148438
424.2549133300781,654.4371948242188
791.1259155273438,649.923095703125
794.0833740234375,640.8193359375
773.7467041015625,635.8358154296875
817.635986328125,646.8016967773438
544.1940307617188,639.8433837890625
698.2993774414062,631.234375
612.1141967773438,615.1234130859375
810.0720825195312,633.611328125
721.1333618164062,617.4423217773438
811.91748046875,635.7153930664062
795.8966674804688,631.33935546875
644.7089233398438,622.9136962890625
563.2874145507812,635.524658203125
700.2145385742188,661.2313842773438
688.316650390625,642.4482421875
885.2831420898438,609.4573974609375
961.1406860351562,640.3572998046875
528.8807983398438,621.0850830078125
567.295166015625,626.331787109375
640.920166015625,608.3715209960938
437.3634033203125,610.9664306640625
710.7056884765625,624.1185302734375
883.4339599609375,610.1124267578125
774.2734375,640.7177734375
534.7592163085938,613.5464477539062
559.4222412109375,647.8446655273438
680.6666259765625,620.2860107421875
937.7528076171875,603.0465698242188
895.0454711914062,605.48828125
970.2197875976562,618.1296997070312
445.8902893066406,615.2120971679688
1028.433349609375,605.3244018554688
548.232421875,622.7974243164062
674.0994262695312,623.5173950195312
588.3187255859375,607.1618041992188
433.6740417480469,607.8890991210938
485.9445495605469,578.7081298828125
714.095458984375,595.6356201171875
649.543701171875,612.76318359375
733.422119140625,601.706298828125
848.4194946289062,605.1395263671875
499.7933044433594,610.711669921875
590.192138671875,605.89599609375
717.9318237304688,607.98486328125
697.0994873046875,600.7593994140625
509.89794921875,608.948974609375
527.670654296875,622.2041625976562
707.854248046875,606.31787109375
805.5609741210938,600.849853515625
621.0914306640625,588.9202880859375
595.8816528320312,598.9866333007812
516.5906982421875,584.4380493164062
508.34197998046875,587.8693237304688
615.4632568359375,602.6306762695312
660.7418212890625,575.7391967773438
489.6225280761719,578.8373413085938
617.8008422851562,586.921875
955.3012084960938,595.900146484375
530.4954223632812,584.5855102539062
1027.34814453125,582.4938354492188
776.2481079101562,579.435791015625
684.6356811523438,569.7215576171875
659.3497314453125,602.5283203125
851.2654418945312,566.8203125
575.4822387695312,583.4019165039062
797.7959594726562,583.2289428710938
569.103271484375,561.7757568359375
624.4237060546875,567.4676513671875
546.12548828125,586.2227783203125
660.4254760742188,564.2628784179688
