wavelength,PC,PH,PI,PK,PE,PN
576.4873,7.02,9.7,10.92,18.18,12.52,15.2
576.8316,6.78,8.64,10.16,17.18,12.02,15.86
577.1759,7.08,10.16,10.54,17.72,12.18,14.44
577.5202,7.98,8.98,10.56,18.94,13.44,14.72
577.8645,7.92,8.54,11.34,18.44,12.5,14.76
578.2088,6.8,7.86,10.44,17.64,12.58,14
578.5531,7.84,9.02,10.2,18.56,12.5,14.6
578.8974,7.62,10.88,11.36,19.4,13.74,15.86
579.2417,7.38,9.24,10.54,18.4,12.64,14.56
579.586,7.96,10.24,12.14,19.66,13.34,16.36
579.9303,7.12,8.82,10.96,19.06,11.9,14.92
580.2746,6.12,9.26,11.14,18.46,14.54,15.12
580.6189,7.56,9.66,10.74,19.32,12.72,15.4
580.9632,7.56,9.48,10.78,18.46,13.48,16
581.3075,7.16,9.58,11.34,19,12.26,15.56
581.6518,7.1,9.08,9.64,16.84,11.6,14.82
581.9961,7.3,9.28,11.6,18.62,13.82,15.08
582.3404,7.26,9.42,10.26,19.02,14.26,16.04
582.6847,7.58,8.66,11.6,18.28,13.28,14.46
583.029,6.68,9.34,10.44,17.52,13.38,16.54
583.3733,6.9,10.16,10.64,18.22,12.56,15.16
583.7176,7.98,9.74,11.12,19.18,12.3,15.46
584.0619,7.46,9.4,10.98,18.8,13.08,15.18
584.4062,7.14,9.52,11.62,18.44,12.24,13.92
584.7505,7.4,9.08,10.66,18.58,12.98,14.82
585.0948,7.36,9.58,11.04,18.96,12.78,14.28
585.4391,8.98,10.28,11.68,19.88,14.62,15.62
585.7834,8.16,9.7,10.16,20.48,13.42,15.82
586.1277,7.78,10.86,11.8,21.7,14.42,16
586.472,6.98,9.2,11.1,19.72,12.82,15.56
586.8163,7.78,10.72,12.62,20.88,14.52,16.36
587.1606,8.82,10.96,12.6,22.02,14.38,17.28
587.5049,7.5,10.26,12.18,19.88,13.68,16.04
587.8492,7.8,9.64,12.36,21.74,13.32,15.88
588.1935,7.84,9.78,12.9,20.84,14.66,16.04
588.5378,8.74,10.88,11.34,21.42,13.28,15.42
588.8821,7.22,8.96,11.62,19.94,12.76,15.94
