wl,skin_mua,skin_mus,fat_mua,fat_mus,muscle_mua,muscle_mus
709,2.136249942,23.493509276161888,0.0031100000000000004,14.4534359082592,0.11744610000000001,4.97333298851558
710,2.1267067760000002,23.47034176488334,0.00315,14.434503009179515,0.11702040000000001,4.959333465582226
711,2.1171656100000003,23.447229658787936,0.0032,14.415621505733176,0.1165947,4.945392970816248
712,2.1077164440000002,23.424172747727447,0.00321,14.39679118640808,0.11616900000000001,4.931511172831714
713,2.0982632780000006,23.401170822644396,0.0032,14.378011840858026,0.1157433,4.917687742564948
714,2.0889141180000004,23.378223675564882,0.00321,14.359283259894651,0.11531849999999999,4.9039223532550285
715,2.07968236,23.35533109959147,0.0032600000000000003,14.340605235479453,0.11496,4.890214680424471
716,2.070456608,23.332492888896095,0.00334,14.321977560715881,0.1146024,4.876564401860117
717,2.0613422640000003,23.30970883871309,0.00343,14.30340002984147,0.114312,4.862971197594192
718,2.052225914,23.28697874533219,0.00351,14.284872438220052,0.1140207,4.849434749885554
719,2.0432079659999998,23.264302406091648,0.00358,14.266394582334051,0.11374770000000001,4.835954743201132
720,2.034193724,23.241679619371407,0.00367,14.247966259776808,0.1134726,4.822530864197531
721,2.025279752,23.219110184586278,0.00376,14.22958726924498,0.113238,4.809162801702829
722,2.016461774,23.196593902179224,0.00383,14.211257410531031,0.11300250000000002,4.795850246698537
723,2.0076438019999996,23.174130573614658,0.0039,14.192976484515722,0.11276790000000002,4.782592892301747
724,1.998934124,23.151720001371817,0.0040100000000000005,14.174744293160742,0.11253540000000001,4.769390433747444
725,1.99023338,23.1293619889382,0.00415,14.156560639501318,0.11232300000000002,4.756242568370988
726,1.9816406320000002,23.107056340803013,0.0043,14.138425327638956,0.11211360000000001,4.743148995590769
727,1.973053792,23.084802862450694,0.00447,14.120338162734187,0.1116864,4.730109416891032
728,1.964564952,23.062601360354506,0.00463,14.10229895099941,0.1112592,4.717123535804855
729,1.9560778600000002,23.040451641970144,0.0048,14.084307499691773,0.11083620000000001,4.704191057897303
730,1.9476950620000002,23.018353515729416,0.00499,14.066363617106115,0.1104153,4.6913116907487336
731,1.939316394,22.99630679103396,0.0051600000000000005,14.048467112567968,0.1112139,4.678485143938274
732,1.931041432,22.97431127824902,0.00535,14.030617796426618,0.11201040000000001,4.665711129027442
733,1.9228627640000002,22.95236678869726,0.005520000000000001,14.01281548004822,0.11280899999999999,4.652989359543932
734,1.914673802,22.93047313465265,0.00564,13.995059975808957,0.11360549999999998,4.640319550965558
