wavelength,oxy,deoxy,water,fat,collagen,mel,musp
722,1.9063,6.8818,0.014712000000000001,0.0001,0.048616,199.81,17.691
723,1.9277,6.7728,0.015108000000000002,0.0001,0.048824,198.89,17.641
724,1.9492,6.6638,0.015503999999999999,0.0001,0.049032,197.98,17.590999999999998
725,1.9717,6.5547,0.0159,0.0001,0.04924,197.07,17.541
726,1.9941,6.4455,0.016304,0.0001,0.049504,196.17,17.492
727,2.0177,6.3093,0.016708,0.0001,0.049768,195.27,17.442999999999998
728,2.0413,6.1731,0.017112,0.0001,0.050032,194.38,17.394000000000002
729,2.0648,6.0376,0.017516,0.0001,0.050296,193.49,17.346
730,2.0884,5.9021,0.01792,0.0001,0.05056,192.61,17.297
731,2.112,5.9021,0.018324,0.0001,0.050132,191.73,17.249000000000002
732,2.1355,5.9021,0.018728,0.0001,0.049704,190.86,17.201
733,2.1591,5.9021,0.019132,0.0001,0.049276,190.0,17.154
734,2.1826,5.9021,0.019536,0.0001,0.048847999999999996,189.14,17.107
735,2.2126,5.9009,0.01994,0.0001,0.04842,188.28,17.06
736,2.2426,5.8998,0.020344,0.0001,0.048288,187.43,17.012999999999998
737,2.279,5.8963,0.020748,0.0001,0.048156,186.58,16.967
738,2.3154,5.8929,0.021152,0.0001,0.048024000000000004,185.74,16.92
739,2.3518,5.9341,0.021556,0.0001,0.047892000000000004,184.91,16.874000000000002
740,2.3883,5.9754,0.02196,0.0001,0.047760000000000004,184.08,16.829
741,2.4247,6.0979,0.022364,0.0001,0.04748,183.25,16.783
742,2.4611,6.2204,0.022768,0.0001,0.047200000000000006,182.43,16.738
743,2.4975,6.3429,0.023171999999999998,0.0001,0.04692,181.61,16.692999999999998
744,2.5339,6.4654,0.023576,0.0001,0.04664000000000001,180.8,16.648
745,2.5725,6.6224,0.02398,0.0001,0.046360000000000005,180.0,16.604
746,2.611,6.7795,0.024384,0.0001,0.04642,179.19,16.56
747,2.6517,6.9594,0.024788,0.0001,0.04648,178.4,16.516
748,2.6924,7.1393,0.025192,0.0001,0.046540000000000005,177.6,16.472
749,2.7331,7.3321,0.025596,0.0001,0.0466,176.81,16.428
750,2.7738,7.5248,0.026000000000000002,0.0001,0.04666,176.03,16.385
751,2.8145,7.8196,0.02592,0.0001,0.046135999999999996,175.25,16.342
752,2.8552,8.1143,0.02584,0.0001,0.045612,174.48,16.299
753,2.8959,8.1851,0.02576,0.0001,0.045087999999999996,173.71,16.256
754,2.9366,8.2559,0.02568,0.0001,0.044564,172.94,16.214000000000002
755,2.9730000000000003,8.306000000000001,0.0256,0.0001,0.044039999999999996,172.18,16.172
756,3.0094,8.3561,0.025519999999999998,0.0001,0.044592,171.42,16.13
757,3.0416,8.3561,0.02544,0.0001,0.045144,170.67,16.088
