,wavelength,max,min
0,650,449.08415383870846,454.15248975376943
1,660,844.0095023719638,854.2547003582159
2,670,1232.613693242328,1249.6686094168529
3,680,1814.2925234775857,1843.2910575402575
4,690,2392.0433972310957,2433.129073482427
5,700,3247.8355419208074,3300.9851679736676
6,710,3791.68040952657,3858.692677574462
7,720,4345.276833430151,4411.542711459646
8,730,4738.362849743437,4804.505063413686
9,740,4563.31258713331,4615.898899538513
10,750,4767.507894036213,4832.720766773167
11,760,4743.957638687189,4803.836841256008
12,770,5164.272166957115,5220.802633362382
13,780,5529.339138590373,5588.651337657724
14,790,5937.658758108242,5985.365746926134
15,800,5747.081413980055,5797.200632523313
16,810,5884.840231387351,5936.457217542836
17,820,5176.9197211734,5217.698634911419
18,830,5142.9845398876905,5180.380520863583
19,840,4453.503957304678,4472.514848162134
20,850,4102.104487365682,4129.665317713892
21,860,3924.0664270500533,3948.667802626908
22,870,3483.648519943845,3504.1327782618496
23,880,3055.653469600158,3076.6269338755
24,890,2428.6495062445542,2442.175041146287
25,900,2106.8529480104567,2114.1878077903643
26,910,1809.919191112401,1820.1075225094385
27,920,1794.9251004453504,1801.894052344534
28,930,1313.3665819537243,1314.865459708912
29,940,980.8950225094379,985.3764417336289
30,950,632.9375266240678,636.1451318294764
31,960,335.4946727659978,340.345757898473
32,970,265.01268636847647,265.26247781327584
33,980,247.29596040274933,248.14393778035932
34,990,221.3812312421337,222.08713331397024
35,1000,203.09134596766376,203.8503436925162
