,wavelength,max,min
0,650,458.211767146593,462.5634233710927
1,660,859.0204306875248,872.576125471973
2,670,1259.1127588066888,1275.1809758931165
3,680,1841.5189743164162,1873.192903475649
4,690,2426.651574623459,2475.3530351437703
5,700,3287.566889340695,3346.365592022464
6,710,3837.8747852786164,3899.6374673250057
7,720,4381.806647027097,4456.8993416594085
8,730,4779.795684826353,4861.518104366345
9,740,4608.471748060247,4672.07603833866
10,750,4816.393884071203,4883.747603833866
11,760,4787.152516493092,4842.501277955273
12,770,5210.245251234391,5277.400764836869
13,780,5565.949271814445,5623.455126343305
14,790,5968.2765860337795,6031.892245135062
15,800,5773.721521928548,5822.726023816438
16,810,5911.883813949625,5969.19186755736
17,820,5198.463964150868,5240.549404589024
18,830,5160.728227044516,5196.859831542253
19,840,4463.223841334387,4497.536353954887
20,850,4115.059209161455,4138.976657953346
21,860,3943.7030579643997,3963.2153354632583
22,870,3490.775577776852,3516.6803078710395
23,880,3066.3392722293725,3082.7910833575424
24,890,2436.4707024604786,2452.18279601123
25,900,2118.237002613999,2129.374034272436
26,910,1812.8262395751206,1821.2620486010255
27,920,1799.6744367453657,1805.1858747216602
28,930,1313.755553711466,1319.7540032917045
29,940,983.5306003900237,986.9037564139786
30,950,634.935513049251,638.4904734243394
31,960,336.59059790050117,338.96446897085826
32,970,264.4455499771789,265.2887113951004
33,980,244.84907680179234,248.68292187046137
34,990,222.7889797103853,221.76961951786214
35,1000,204.70793742998217,205.77993997482807
