wl,mm,ml,fat,skin
1011.97644,0.020526197,0.020526197,0.006284547,0.112400902
1012.975647,0.020907244,0.020907244,0.006623511,0.113053434
1013.974182,0.02091792,0.02091792,0.006981893,0.11082101
1014.972107,0.021656187,0.021656187,0.007482765,0.11309075
1015.969421,0.022166208,0.022166208,0.007924401,0.114041924
1016.966125,0.022340442,0.022340442,0.008176363,0.113714728
1017.962158,0.022910176,0.022910176,0.008514577,0.115778027
1018.957581,0.022453937,0.022453937,0.008192374,0.114457106
1019.952393,0.022275966,0.022275966,0.008087524,0.113807421
1020.946533,0.021911931,0.021911931,0.007786969,0.113033873
1021.940063,0.022500299,0.022500299,0.008096136,0.115423394
1023.057068,0.021336442,0.021336442,0.007376795,0.111391908
1024.049316,0.021322854,0.021322854,0.006906793,0.114322704
1025.040771,0.021620559,0.021620559,0.007009006,0.115881561
1026.031738,0.020575199,0.020575199,0.006544112,0.111091539
1027.022095,0.020722431,0.020722431,0.006333195,0.113549237
1028.011719,0.019844663,0.019844663,0.005975508,0.109316362
1029.000732,0.019895874,0.019895874,0.005618886,0.111998552
1029.989136,0.019621629,0.019621629,0.005604154,0.110050154
1030.976929,0.018383022,0.018383022,0.004868534,0.105566715
1031.964111,0.018676341,0.018676341,0.005133981,0.106039833
1032.950562,0.01872595,0.01872595,0.004716561,0.109102316
1034.05957,0.017502436,0.017502436,0.004232621,0.103107713
1035.044678,0.017834084,0.017834084,0.003843424,0.108089622
1036.029175,0.017663872,0.017663872,0.003516091,0.108933024
1037.013062,0.018056187,0.018056187,0.003388588,0.11267875
1037.996338,0.017665233,0.017665233,0.003925191,0.106304001
1038.978882,0.016687497,0.016687497,0.002970955,0.105174666
1039.960815,0.016797726,0.016797726,0.003581225,0.102059067
1040.942139,0.017405649,0.017405649,0.003305813,0.108365498
1042.045288,0.016404764,0.016404764,0.003015528,0.102780438
1043.025269,0.017697665,0.017697665,0.003596892,0.108663559
1044.004517,0.016291884,0.016291884,0.00246837,0.105469141
1044.983154,0.016903515,0.016903515,0.003360265,0.104272752
1045.961182,0.017271454,0.017271454,0.003153044,0.108351122
1047.060669,0.015788638,0.015788638,0.002444233,0.101875103
1048.037231,0.017017365,0.017017365,0.003634529,0.103351758
1049.013184,0.016425003,0.016425003,0.002874253,0.103842625
1049.988525,0.015261823,0.015261823,0.002113057,0.100086196
1050.963257,0.016465838,0.016465838,0.002308063,0.10779946
1052.05896,0.01625576,0.01625576,0.002909892,0.102351666
1053.032349,0.01521173,0.01521173,0.002202395,0.099136614
1054.005005,0.016659196,0.016659196,0.002370815,0.108835374
1054.976929,0.01588717,0.01588717,0.002676203,0.101112809
1055.948364,0.015279451,0.015279451,0.002290649,0.099071875
1057.040283,0.015447485,0.015447485,0.003026358,0.095577765
1058.010254,0.015254962,0.015254962,0.002439359,0.097930058
1058.979614,0.015708152,0.015708152,0.002298702,0.102214233
