wl,skin,fat,mm,ml
600,3.9323999999999995,2.6366624999999995,0.8950987499999998,0.7813037499999999
601,3.9163999999999994,2.6232874999999996,0.8910862499999999,0.7783412499999999
602,3.9003999999999994,2.6099124999999996,0.8870737499999999,0.7753787499999999
603,3.8843999999999994,2.5965374999999997,0.8830612499999999,0.7724162499999999
604,3.8683999999999994,2.5831625,0.8790487499999998,0.7694537499999999
605,3.8523999999999994,2.5697875,0.8750362499999998,0.76649125
606,3.8364,2.5564125,0.8710237499999999,0.76352875
607,3.8204,2.5430374999999996,0.8670112499999999,0.7605662499999999
608,3.804049382716049,2.5298395061728396,0.8631074074074073,0.7576037037037037
609,3.784543209876543,2.5182345679012346,0.8601814814814813,0.7546407407407407
610,3.765037037037037,2.5066296296296295,0.8572555555555554,0.7516777777777778
611,3.7455308641975305,2.4950246913580245,0.8543296296296296,0.7487148148148148
612,3.7260246913580244,2.4834197530864195,0.8514037037037037,0.7457518518518518
613,3.7065185185185183,2.4718148148148145,0.8484777777777778,0.7427888888888888
614,3.6870123456790123,2.46020987654321,0.8455518518518518,0.7398259259259259
615,3.667506172839506,2.448604938271605,0.8426259259259259,0.7368629629629629
616,3.648,2.437,0.8397,0.7339
617,3.6252151898734177,2.4256075949367086,0.837206329113924,0.7319126582278481
618,3.6024303797468353,2.4142151898734174,0.8347126582278481,0.7299253164556961
619,3.579645569620253,2.4028227848101262,0.8322189873417721,0.7279379746835443
620,3.5568607594936705,2.391430379746835,0.8297253164556961,0.7259506329113924
621,3.534075949367088,2.3800379746835443,0.8272316455696201,0.7239632911392404
622,3.511291139240506,2.368645569620253,0.8247379746835443,0.7219759493670885
623,3.4885063291139238,2.357253164556962,0.8222443037974683,0.7199886075949367
624,3.4661999999999997,2.3459874999999997,0.8197124999999998,0.7179174999999999
625,3.4481999999999995,2.3358624999999997,0.8168374999999999,0.7150924999999999
626,3.4301999999999997,2.3257375,0.8139624999999999,0.7122674999999999
