wl,c,h,i,k
650,4.242567229084671e-15,6.92807286977768e-11,1.986358880996704e-09,1.2829373359680176e-08
660,5.351570434868336e-13,4.862817376852035e-11,2.6095490455627443e-09,1.6480396270751954e-08
670,7.332731620408595e-13,1.7729181051254273e-10,2.5597097873687746e-09,1.8296258926391603e-08
680,1.5408730178023688e-14,3.300410881638527e-11,3.0583658218383788e-09,1.7230340957641602e-08
690,1.03730199043639e-13,1.2568429112434388e-10,4.883729457855225e-09,2.1112342834472657e-08
700,7.619394455105067e-14,1.5170881152153014e-10,4.121017456054687e-09,1.9322954177856447e-08
710,3.7642894312739375e-14,1.2325069308280946e-10,6.02116060256958e-09,2.3806209564208986e-08
720,7.106755510903895e-13,4.433990120887756e-10,6.185544967651367e-09,3.272541046142578e-08
730,5.005411221645773e-13,1.9944441318511963e-10,6.7259035110473635e-09,2.5353309631347655e-08
740,1.0622349800541996e-12,2.2972406446933747e-10,6.492885112762451e-09,1.8819236755371095e-08
750,1.8067200435325503e-12,4.2946925759315493e-10,1.3107632637023925e-08,4.4081348419189453e-08
760,1.5931297093629836e-11,5.779588222503662e-10,1.6525115966796876e-08,6.070937347412109e-08
770,4.3075359426438805e-12,8.038958311080932e-10,1.4872262954711915e-08,6.375339126586914e-08
780,8.174750953912736e-12,1.2342383861541748e-09,1.945315933227539e-08,6.742987060546875e-08
790,1.1228381656110287e-11,1.4973646402359008e-09,2.1838975906372072e-08,8.230564880371093e-08
800,2.2857751697301863e-11,1.585679292678833e-09,2.4677412033081056e-08,7.767874908447266e-08
810,1.4271842315793038e-11,1.3158539533615112e-09,2.0915067672729492e-08,5.916980361938476e-08
820,7.031675428152085e-11,1.639741063117981e-09,2.9382423400878906e-08,7.872101593017578e-08
830,2.4111047387123107e-11,1.9622355699539185e-09,3.115644645690918e-08,9.679395294189453e-08
840,5.422535166144371e-11,2.3392984867095947e-09,3.098101997375488e-08,1.0068662261962891e-07
850,5.7452652603387834e-11,2.1362814903259276e-09,3.317252731323242e-08,8.664453887939453e-08
860,3.523923829197884e-11,2.1424474716186525e-09,3.099028205871582e-08,9.402395629882812e-08
870,1.3873574323952199e-11,1.9331828355789185e-09,3.2863441467285154e-08,7.850325012207032e-08
880,1.3357434421777725e-11,1.834648370742798e-09,2.1682701110839843e-08,5.003493118286133e-08
890,4.638619348406792e-11,2.1615650653839113e-09,1.9617784500122072e-08,5.476021957397461e-08
900,1.889891573227942e-13,1.205059289932251e-10,3.095322847366333e-09,6.3172249794006345e-09
910,4.38881198050467e-18,4.1616824455559256e-13,5.784615501761436e-11,9.254345297813416e-11
920,3.861534968018532e-11,9.137775897979736e-10,1.2279258728027344e-08,3.302277374267578e-08
930,1.074363812804222e-10,4.623480319976807e-09,6.790271759033203e-08,1.747147979736328e-07
940,1.290730834007263e-10,6.1908068656921385e-09,6.250892639160156e-08,2.0575469970703124e-07
950,3.445192277431488e-10,9.047472953796386e-09,7.008431243896485e-08,2.434039001464844e-07
960,4.84447568655014e-10,1.406725311279297e-08,8.812937927246094e-08,2.3735368347167968e-07
970,3.036740720272064e-10,1.1492798805236817e-08,8.296578979492187e-08,2.6739321899414064e-07
980,4.299497306346893e-10,1.1000992774963378e-08,1.1190216064453125e-07,2.7788934326171874e-07
990,5.37198007106781e-10,1.2446891784667968e-08,1.0900930023193359e-07,1.8865327453613282e-07
1000,1.6982422769069672e-10,5.32657527923584e-09,3.367136764526367e-08,1.411305694580078e-07
