Wavelength (nm),PC,PH,PI,PK,WH_lie0_1,WH_lie0_2,,,,,,,
611.8129,333,331.333333333333,336,372.333333333333,336,335,,,,,,,
612.1568,332,332.333333333333,336.333333333333,377.333333333333,334,333,,,,,,,
612.5007,333.333333333333,333.333333333333,340,378.666666666667,340,337,,,,,,,
612.8446,328,336.333333333333,337.666666666667,378.333333333333,339,346,,,,,,,
613.1885,332.333333333333,335.333333333333,333.666666666667,383,338,342,,,,,,,
613.5324,332.333333333333,335,338.333333333333,385.333333333333,340,341,,,,,,,
613.8763,335.333333333333,335,338.333333333333,380,340,336,,,,,,,
614.2202,327,332.666666666667,339.666666666667,386.666666666667,343,344,,,,,,,
614.5641,332.666666666667,332.666666666667,339.333333333333,381.666666666667,338,346,,,,,,,
614.908,329,333,338.666666666667,386.333333333333,337,337,,,,,,,
615.2519,333,336,336,380,342,341,,,,,,,
615.5958,331.333333333333,334,337.333333333333,379.666666666667,335,342,,,,,,,
615.9397,331.666666666667,332,332,379.333333333333,352,336,,,,,,,
616.2836,330.666666666667,332,335,377,335,335,,,,,,,
616.6275,328,333,336,370.333333333333,336,341,,,,,,,
616.9714,325.666666666667,334.666666666667,335.333333333333,368.666666666667,338,337,,,,,,,
617.3153,330.666666666667,329.666666666667,334.666666666667,366.666666666667,337,344,,,,,,,
617.6592,331.666666666667,329.666666666667,333.333333333333,369.333333333333,332,339,,,,,,,
618.0031,328,327.333333333333,334,364.666666666667,343,340,,,,,,,
618.347,329,328.666666666667,335,368,339,334,,,,,,,
618.6909,330.333333333333,332.666666666667,332.333333333333,370.333333333333,338,340,,,,,,,
619.0348,327.666666666667,330.333333333333,332.666666666667,373,339,331,,,,,,,
619.3787,324.666666666667,330.666666666667,333.666666666667,374,341,338,,,,,,,
619.7226,330.333333333333,329.666666666667,336.666666666667,378.333333333333,343,339,,,,,,,
620.0665,328.666666666667,333.333333333333,336.333333333333,378.666666666667,339,340,,,,,,,
620.4104,337.333333333333,334.666666666667,336.666666666667,380.666666666667,340,338,,,,,,,
620.7543,331.666666666667,335,338,384,345,348,,,,,,,
621.0982,336,335.666666666667,336.666666666667,387,350,343,,,,,,,
621.4421,333.333333333333,336.666666666667,340.333333333333,390.333333333333,348,345,,,,,,,
621.786,327.666666666667,337.333333333333,341.666666666667,391,344,347,,,,,,,
622.1299,338,339,336.666666666667,388.666666666667,342,335,,,,,,,
622.4738,332,335,342.666666666667,395.666666666667,345,339,,,,,,,
622.8177,336,339.333333333333,338.666666666667,386,342,343,,,,,,,
623.1616,335.666666666667,337,341,387.333333333333,354,341,,,,,,,
623.5055,334.333333333333,331,340,390.333333333333,341,335,,,,,,,
623.8494,335.333333333333,333,337.666666666667,383.666666666667,344,352,,,,,,,
624.1933,334.666666666667,334.666666666667,335.333333333333,383,348,341,,,,,,,
624.5372,330.333333333333,335.666666666667,337.333333333333,380.666666666667,337,346,,,,,,,
624.8811,331.666666666667,330.333333333333,337.666666666667,377.666666666667,340,345,,,,,,,
625.225,330.666666666667,333.666666666667,336,381.666666666667,340,350,,,,,,,
625.5689,329.666666666667,334,334.666666666667,376.333333333333,342,335,,,,,,,
625.9128,334.666666666667,336.666666666667,338.333333333333,378,335,337,,,,,,,
626.2567,333.333333333333,333.666666666667,336.666666666667,376.666666666667,341,340,,,,,,,
626.6006,333.666666666667,329.333333333333,337,377.333333333333,351,342,,,,,,,
626.9445,334,336.666666666667,338,378.666666666667,342,350,,,,,,,
627.2884,339.333333333333,335.333333333333,333.333333333333,384.666666666667,344,339,,,,,,,
627.6323,337,334,341,383.666666666667,341,348,,,,,,,
627.9762,334.333333333333,341.333333333333,338,382.666666666667,338,342,,,,,,,
628.3201,339.666666666667,338.333333333333,345.666666666667,390.333333333333,350,344,,,,,,,
628.664,335,338.333333333333,339,391.333333333333,350,353,,,,,,,
629.0079,335.666666666667,338.333333333333,342.333333333333,393,347,346,,,,,,,
629.3518,335.333333333333,338,342.666666666667,396.666666666667,351,346,,,,,,,
629.6957,331.333333333333,334.666666666667,343.666666666667,402.666666666667,345,352,,,,,,,
630.0396,335.333333333333,338.666666666667,338.666666666667,398.333333333333,346,347,,,,,,,
630.3835,340.333333333333,338.666666666667,340.333333333333,390.666666666667,345,349,,,,,,,
630.7274,336,337.333333333333,345,392,345,344,,,,,,,
631.0713,337,334,340.666666666667,391.333333333333,347,343,,,,,,,
631.4152,333.666666666667,335.666666666667,342.666666666667,392.666666666667,349,346,,,,,,,
631.7591,335.666666666667,336,343.333333333333,386,340,349,,,,,,,
632.103,336,339.333333333333,341,388.333333333333,348,349,,,,,,,
632.4469,338.666666666667,336.666666666667,340,392,338,341,,,,,,,
632.7908,335.333333333333,334.333333333333,338.666666666667,387,348,347,,,,,,,
633.1347,332.333333333333,335,339.333333333333,383.333333333333,344,339,,,,,,,
633.4786,334.333333333333,338.333333333333,344,397,344,349,,,,,,,
633.8225,334,333.666666666667,340.666666666667,385.333333333333,351,349,,,,,,,
634.1664,334.666666666667,337.666666666667,341.333333333333,391,345,348,,,,,,,
634.5103,338.333333333333,340,344,388.333333333333,346,349,,,,,,,
634.8542,331.333333333333,340.666666666667,340.333333333333,393,355,348,,,,,,,
635.1981,337,339.333333333333,346.666666666667,390.666666666667,357,347,,,,,,,
635.542,338.333333333333,337,341.666666666667,396,349,345,,,,,,,
635.8859,331.333333333333,339.333333333333,342.666666666667,395.333333333333,348,348,,,,,,,
636.2298,339.333333333333,338.666666666667,343.666666666667,399,351,344,,,,,,,
636.5737,339.333333333333,341.333333333333,343,402.333333333333,353,353,,,,,,,
636.9176,340.333333333333,340,343.666666666667,404.333333333333,343,357,,,,,,,
637.2615,337.666666666667,340.666666666667,346.333333333333,402.666666666667,347,351,,,,,,,
637.6054,335.666666666667,336.666666666667,345,397.333333333333,349,351,,,,,,,
637.9493,336.333333333333,337.333333333333,349.333333333333,400,342,349,,,,,,,
638.2932,333.333333333333,337,341.333333333333,403.333333333333,346,349,,,,,,,
638.6371,334.333333333333,340.333333333333,342.333333333333,391,351,342,,,,,,,
638.981,336.333333333333,338.666666666667,340,398.666666666667,355,344,,,,,,,
639.3249,337.333333333333,337.333333333333,344.333333333333,396.666666666667,350,344,,,,,,,
639.6688,336.666666666667,335,339.666666666667,398.666666666667,352,346,,,,,,,
640.0127,335,341.666666666667,346.666666666667,396.666666666667,341,355,,,,,,,
640.3566,337.333333333333,339,339.666666666667,399,352,359,,,,,,,
640.7005,339.333333333333,335,344,402.666666666667,353,347,,,,,,,
641.0444,337.666666666667,342,349.333333333333,402,343,349,,,,,,,
641.3883,339.333333333333,339.666666666667,343.666666666667,401,346,357,,,,,,,
641.7322,334.333333333333,339,342.666666666667,414.333333333333,352,353,,,,,,,
642.0761,340.666666666667,340,343.666666666667,414.333333333333,362,350,,,,,,,
642.42,339.333333333333,342,349.333333333333,420.666666666667,347,347,,,,,,,
642.7639,342.666666666667,345.333333333333,348.666666666667,428.666666666667,356,353,,,,,,,
643.1078,342.666666666667,342,351,427.333333333333,357,354,,,,,,,
643.4517,340,339.333333333333,350.666666666667,440.333333333333,356,358,,,,,,,
643.7956,343.333333333333,344.333333333333,349,445.666666666667,361,363,,,,,,,
644.1395,340.333333333333,342.333333333333,353.666666666667,452.333333333333,355,359,,,,,,,
644.4834,345,343,355.333333333333,458.333333333333,353,355,,,,,,,
644.8273,341.333333333333,342.333333333333,360.666666666667,464.333333333333,358,357,,,,,,,
645.1712,341.666666666667,346,359.333333333333,489.666666666667,360,354,,,,,,,
645.5151,344,342,358.666666666667,506.666666666667,360,363,,,,,,,
645.859,344.666666666667,342.333333333333,367.666666666667,534.666666666667,365,361,,,,,,,
646.2029,344,345,370.333333333333,555.666666666667,369,368,,,,,,,
646.5468,344,343,380.333333333333,596,375,366,,,,,,,
646.8907,343,346.333333333333,387.333333333333,646.666666666667,381,376,,,,,,,
647.2346,342.666666666667,350,401.333333333333,710.666666666667,386,381,,,,,,,
647.5785,342,354.333333333333,406.666666666667,779.666666666667,399,395,,,,,,,
647.9224,346.666666666667,354,426.666666666667,860.666666666667,408,395,,,,,,,
648.2663,351.666666666667,352.333333333333,445,979.666666666667,422,414,,,,,,,
648.6102,349.666666666667,362,454.666666666667,1084,428,425,,,,,,,
648.9541,350.333333333333,365.333333333333,479.333333333333,1215.33333333333,449,434,,,,,,,
649.298,360.666666666667,370,513,1364.66666666667,466,463,,,,,,,
649.6419,359,373.333333333333,532.333333333333,1518,492,466,,,,,,,
649.9858,357.666666666667,377.666666666667,558.666666666667,1672.66666666667,514,485,,,,,,,
650.3297,360,384.333333333333,593,1832.33333333333,536,504,,,,,,,
650.6736,364,388.666666666667,612,1962.66666666667,554,524,,,,,,,
651.0175,371.666666666667,388.666666666667,640,2107.66666666667,575,538,,,,,,,
651.3614,365,400.666666666667,656.333333333333,2224.66666666667,577,555,,,,,,,
651.7053,373.333333333333,401.333333333333,682.333333333333,2337,599,554,,,,,,,
652.0492,371.333333333333,401.666666666667,694,2417,606,585,,,,,,,
652.3931,369.333333333333,403,701.333333333333,2487,617,569,,,,,,,
652.737,372.666666666667,409,720,2529.33333333333,632,585,,,,,,,
653.0809,380,404,735.333333333333,2583.66666666667,623,597,,,,,,,
653.4248,375,403.666666666667,736.666666666667,2616.33333333333,636,614,,,,,,,
653.7687,372.666666666667,408.666666666667,737,2642.66666666667,644,610,,,,,,,
654.1126,375,411.333333333333,752,2678.66666666667,644,620,,,,,,,
654.4565,376.666666666667,411.666666666667,744,2701,658,608,,,,,,,
654.8004,376.333333333333,416,759.333333333333,2709,649,612,,,,,,,
655.1443,381.333333333333,412,752.333333333333,2734.66666666667,664,634,,,,,,,
655.4882,377.333333333333,413,768,2757.66666666667,664,629,,,,,,,
655.8321,380,414.333333333333,763,2763,670,622,,,,,,,
656.176,378.333333333333,419.666666666667,783,2782,659,644,,,,,,,
656.5199,379,418,776.333333333333,2810.66666666667,685,648,,,,,,,
656.8638,376.666666666667,419.666666666667,783.333333333333,2851.66666666667,690,641,,,,,,,
657.2077,384,419.666666666667,778,2840,692,651,,,,,,,
657.5516,385.666666666667,425.333333333333,784.333333333333,2866.66666666667,697,654,,,,,,,
657.8955,383.666666666667,422.333333333333,803.666666666667,2915,708,655,,,,,,,
658.2394,379.333333333333,424.666666666667,784,2934.66666666667,719,657,,,,,,,
658.5833,387,425.333333333333,810.666666666667,2984.33333333333,707,674,,,,,,,
658.9272,377,420.666666666667,806.333333333333,2990.33333333333,724,687,,,,,,,
659.2711,381.666666666667,422.666666666667,808.333333333333,2971.66666666667,711,677,,,,,,,
659.615,381.666666666667,426,813.333333333333,3012.33333333333,722,677,,,,,,,
659.9589,384.333333333333,423,811.666666666667,3019.66666666667,718,682,,,,,,,
660.3028,379.333333333333,430.333333333333,829.333333333333,3075,733,677,,,,,,,
660.6467,382.666666666667,423.666666666667,816.666666666667,3070.66666666667,731,687,,,,,,,
660.9906,379.666666666667,418.666666666667,829,3107.33333333333,748,676,,,,,,,
661.3345,384,427.666666666667,830.666666666667,3112.33333333333,733,715,,,,,,,
661.6784,385.333333333333,425.666666666667,838.666666666667,3156.33333333333,767,712,,,,,,,
662.0223,380.666666666667,427.666666666667,832.333333333333,3173,763,722,,,,,,,
662.3662,384,427.333333333333,848.333333333333,3227,771,726,,,,,,,
662.7101,382.333333333333,427.333333333333,856,3234.66666666667,779,729,,,,,,,
663.054,387.333333333333,427.666666666667,865.333333333333,3260,777,734,,,,,,,
663.3979,387.666666666667,435,862.666666666667,3278.66666666667,791,724,,,,,,,
663.7418,388.333333333333,433.333333333333,873.666666666667,3287.66666666667,800,744,,,,,,,
